Update,Date,Ticker,Likes,Trader,Seguidores,Profile_Url,Recommendation,Title,Content,Sentiment
Atualizado ,2023-09-27 14:39:47,EWZ,3,G_Rangel,142,/u/G_Rangel/,Viés de alta,10 motivos pra você comprar Brasil nessa última pernada de baixa,"


                            Trade active:                        

                            Chegamos lá. 
Estou comprando essa queda a partir de agora. 

Estou fazendo hoje 1/3 da mão em SIMH3, TRIS3, BEEF3, AZUL4, ENEV3, BBDC4 e ITUB4(apesar de eu achar que bancos podem fazer uma ÚLTIMA pernada de baixa).

                        

 

                        Depois de muito tempo estudando gráficos, cheguei a conclusão que para mim, não vale a pena acertar o timing, mas sim a direção! 

Por isso daqui pra frente sempre vou deixar delimitado um range que deve ser comprado de maneira distribuída (aconselho dividir em 3 mãos) 

Dito isso, esses são os 10 motivos que me convencem a comprar EWZ dos U$30.00 até os U$29.00, caso ocorra mais uma pernada de baixa: 

1) Linha de Retorno do alargamento (padrão favorito desse ativo) 
2) Linha Medial do canal de alta super simétrico 
3) Pullback na MA200 que atua como suporte no momento 
4) Key Level  (topos anteriores que viraram suporte) 
5) POC do Volume Profile está nesses U$29.50, (Ñ plotei pra ñ poluir) 
6) VWAP ancorada nos fundos dá suporte nessa mesma região 
7) Fechamento de um super gap 
8) Provável episódio de capitulação, fenômeno necessário pra marcar o fundo 
9) Matriz com price action bearish (spx/nq com espaço pra quedas)  
10) VIX / DXY indicando que pode haver mais um stress nos mercados para  
somente depois marcar o fundo 

",1.0
,2023-09-27 10:38:27,BRFS3,2,RicardoTominaga,324,/u/RicardoTominaga/,Viés de alta,Potencial upside em BRFS3,"Ativo iniciou tendência de alta numa onde de impulso a partir do rompimento do ending diagonal na região de suporte dos 6,00. Minha interpretação de EW é de que o impulso tende a se estender e buscar as próximas regiões de resistência no curto prazo. 

 nan",1.0
,2023-09-27 09:59:23,ATMP3,2,joeyrfs,0,/u/joeyrfs/,,PADRÃO: MARTELO,"PADRÃO: MARTELO 
Padrão Martelo encontrado para a ação ATMP3 na data 26/09/2023 
Entrada: 2.50                 Stop: 2.38                 Parcial: 2.62                 Gain: 2.88 nan",
Atualizado ,2023-09-26 17:09:07,WIN1!,18,JuniorNascimento,104,/u/JuniorNascimento/,Viés de alta,Win ( mini índice ),"


                            Trade active                        






                            Comment:                        

                            Possível correção no 115290 com possibilidade de estender até 107 - 104 +/-

                        




                            Trade active:                        

                            A correção na região de 115290 foi atingida.  
Se WIN tiver que subir é dai, caso perca dará inicio a uma tendência de baixa com alvos iniciais em 112 e 107 com possibilidade de estender até 96 - 88mil

                        

 

                        Win ( mini índice ) iniciou um movimento de alta com alvo em 115290 caso supere essa região dará continuidade ao movimento de alta com alvos em 126495 - 134075 podendo estender o movimento até 138835 - 151980 

(Cenário de baixa) 
Caso o Win não supere a região dos 115290 poderá retornar ao 107730 podendo dar continuidade ao movimento de baixa com alvos em 101285 - 97735 - 88280 - 82600 podendo estender até 75405
                    
",1.0
,2023-09-26 21:04:10,EURUSD,3,JianScharnetzki,163,/u/JianScharnetzki/,Viés de alta,Preço próximo a zona de suporte.,"O Euro registrou uma baixa de seis meses em relação ao dólar dos Estados Unidos (USD), sob pressão decorrente da postura restritiva do Federal Reserve em relação ao controle da inflação nos Estados Unidos, apesar do compromisso declarado pelo Banco Central Europeu em adotar medidas necessárias para alcançar sua meta de inflação, cuja implementação plena está prevista para 2025, de acordo com a política econômica europeia atual. 

Nos Estados Unidos, surge um novo desafio com a ameaça de paralisação parcial do funcionamento do governo federal, conhecida como ""shutdown"". Embora seja esperado que um possível ""shutdown"" tenha um impacto negativo no dólar, este impacto é previsto como sendo de curta duração e transitório. 

De acordo com a análise do Wells Fargo (NYSE: WFC), o índice do dólar americano poderá apresentar uma queda estimada entre 1,0% e 1,5% nas semanas subsequentes ao início de um ""shutdown"". 

Do ponto de vista técnico, observa-se que o preço do Euro está em uma tendência de baixa dentro de um canal descendente (indicado em azul) e se encontra próximo de um nível de suporte significativo em 1,0544. Essa condição técnica pode potencialmente levar o par de moedas EUR/USD a subir para o nível de 1,0706, combinando-se com o nível de retração de Fibonacci de 23%. nan",1.0
,2023-09-26 21:16:00,POMO4,1,Giolima,26,/u/Giolima/,Viés de baixa,POMO4 - VENDIDO!,"O que mais me chama atenção na operação vendida é que não precisamos ter o capital. Parece ser uma forma de alavancagem. Com certeza, risco maior, mas com gestão de perda bem controlada a 1% do capital, teremos 100 chances de erro até nosso capital desaparecer. E não vamos errar 100 vezes seguidas. nan",-1.0
Atualizado ,2023-09-26 17:33:51,KEPL3,10,G_Rangel,142,/u/G_Rangel/,Viés de alta,KEPL3 DIÁRIO | MUITOS SINAIS DE MOMENTUM COMPRADOR,"


                            Trade active:                        

                            PRIMEIRO ALVO ATINGIDO :) 
Não vou fazer parcial, pretendo carregar 

Se o IBOV fizer mais uma pernada de alta rumo aos 130k acho que esse papel pode dobrar.

                        




                            Trade active:                        

                            Segundo alvo atingido, fiz parciais bem grandes mas mantenho posição!

                        




                            Trade active:                        

                            Parciais feitas, e agora procuro uma maneira de comprar mais ativos, aproveitando que o preço médio está na casa dos R$9.50!

                        

 

                        Muitos papéis estão reagindo positivamente ao possível corte de juros no dia de amanhã. 
Parece que praticamente o mercado está precificando um corte de  no mínimo 0.50bps.  
Se for o caso, KEPL3 pode ser uma EXCELENTE escolha! Vou explicar o por quê. 

Nesse gráfico existem pelo menos 9 motivos que me deixam com o viés bem positivo  pro comportamento do preço nos próximos dias! (Se houver um corte de pelo menos 0.50bps) 

São eles: 
1) fechamento com bastante momentum comprador acima da ma200  
2) preço mantendo-se acima da estrutura de alta do curto prazo  
3) topos e fundos ascendentes no D1 (só tenho pivô de alta)  
4) o preço está fechando acima da VWAP do Topo Histórico  
5) preço passou pra cima da região do KEY LEVEL e está com momentum comprador 
6) preço vencendo a MA50 do semanal 
7) está havendo o aumento do volume nesse rompimento (não plotei pra não sujar a tela) 
8) o preço está fechando acima da POC com momentum comprador, alvo na VAH em R$10.50 (não plotei o market profile pra não sujar a tela) 
9) a ação atende a todos os critérios estabelecidos pelo campeão de trading  MARK MINERVINI  

--------------------------------------------------------------------------------------------------------------- 
Além do gráfico, existem outros motivos que me fazem sentir confortável com a escolha de KEPL3...  
É uma maneira de se expor ao agronegócio sem depender de cotação de grão ou do clima, e  principalmente .... , por ser case da Trigono. 
Esses dias vi um vídeo deles falando por quê gostam e acreditam tanto no business, e me convenceram. O gestor tem 41 anos de Mercado e é especialista em small caps, então se ele gosta, eu gosto! Principalmente se o gráfico estiver autorizando a entrada, como é o caso de agora. Ah! Ele comentou também que os gringos tão pedindo ADR pra KEPLER, ruim não é. 
---------------------------------------------------------------------------------------------------------------- 

Enfim, é isso aí! 
Se vier corte de 0.50bps bastante coisa vai subir, mas a kepler eu acho que vai estourar!  
Agora se vier somente 0.25 de corte ou até mesmo o mantimento da taxa, o cenário já não é o mesmo  




",1.0
Atualizado ,2023-09-26 17:14:26,VAMO3,11,JuniorNascimento,104,/u/JuniorNascimento/,Viés de alta,VAMO3,"


                            Trade active                        



 

                        VAMO3 está oscilando dentro de um pivô de alta precisando romper os 15.649 para dar continuidade ao movimento. 

Caso a região de 15.649 seja rompida, VAMO3 poderá dar continuidade ao movimento de alta tendo como próximos alvos 17.293 - 19.972 - 22.583 - 29.573 - 38.141 - 50.430
                    
",1.0
Atualizado ,2023-09-26 16:12:51,ESZ2023,4,rgribeiro2009839,0,/u/rgribeiro2009839/,,100% da onda A para onda C,"


                            Trade active:                        

                            O que temos ate o momento: 

No Diário a ONDA C atingiu os 0.61% da projeção fibbo ancorada nos pontos, 4692.75, 7397.50 e 4597.25. 

Região de Suporte importante.  

Chegou na metade do caminho do target final de ganho, bom momento para parcial. 

L&P 104.00

                        




                            Trade active:                        

                            profit 130 pontos nesse momento

                        




                            Trade active:                        

                            profit 150 pontos nesse momento

                        




                            Trade active:                        

                            profit 165 pontos nesse momento

                        




                            Trade closed: target reached                        



 

                        S&P500 no gráfico diário ja temos 5 ondas impulsivas e duas corretivas, estamos na ultima onda corretiva (onda C) onde pelo menos irá fazer os 100% da Onda A, podendo ir até os 127%. 
                    
",
Atualizado ,2023-09-28 18:26:05,XAUUSD,3,DanSemStop,102,/u/DanSemStop/,Viés de baixa,XAUUSD apontando para liquidez abaixo de 1884,"


                            Comment:                        

                            Boom!

                        

 

                        Vamos abaixo, apertem os cintos. Mesmo com DXY subindo, ouro está divergente devido alguns acontecimentos fundamentais que o afeta. Contudo, na hora de corrigir, será brutal. 1866 é onde está meu take profit.  

",-1.0
,2023-09-28 17:36:04,BTCUSD,1,EvaldoInvest,16,/u/EvaldoInvest/,,"""BITCOIN #BTCUSD DÁ SINAIS DE CAPITALIZAÇÃO""","O Bitcoin #BTCUSD tem se mostrado de certa forma adaptado ao momento norte americano , rendimentos dos títulos em máximas , dólar muito forte, incertezas em relação á inflação e taxas de juros, observando  o momento gráfico destaco para a próxima abertura da cripto que se permanecer acima de $ 26849 irá buscar $ 27466, $ 27669 e o final deste movimento de curto prazo no $ 28050. nan",
,2023-09-28 15:01:42,RPMG3,1,EvaldoInvest,16,/u/EvaldoInvest/,,"""PET MANGUINHOS-#RPMG3-TENTA SAIR DA CONSOLIDAÇÃO""","""PET MANGUINHOS-#RPMG3-TENTA SAIR DA CONSOLIDAÇÃO""- O ativo sobe forte até o momento e tenta sair da consolidação . Para tentar furar a resistência em  2,47 precisa começar a trabalhar acima da mediana que está em  2,34, para ter força para perfurar  os 2,47 com consistência e mirar os 2,72. 
Pelo lado da baixa não pde perder a  região de 2,34 para não desfazer o movimento iniciado.  nan",
